,0
.net+Developer,"15,451"
.net+core,"12,071"
.net+framework+version,"1,359"
3d+Developer,"1,985"
ab+initio,459
abap+Developer,485
active+directory,"17,319"
admin+Developer,"6,831"
ads+Developer,"1,938"
advertisement+server,284
aem+Developer,436
agile+Developer,"36,841"
ajax+Developer,"4,730"
algorithm+Developer,"15,393"
alm+Developer,821
amazon+cloudformation,"1,255"
amazon+data+pipeline,"1,165"
amazon+dynamodb,"2,123"
amazon+ec2,"3,597"
amazon+elastic+beanstalk,175
amazon+emr,"1,412"
amazon+kinesis,"1,138"
amazon+kinesis+firehose,115
amazon+redshift,"2,297"
amazon+s3,"2,474"
amazon+web+services,"21,690"
anaconda+Developer,76
analytics+Developer,"25,434"
android+Developer,"6,888"
android+databinding,8
android+jetpack,65
angular+Developer,"13,848"
angular5+Developer,7
angularjs+Developer,"3,191"
ansible+Developer,"3,108"
apache+Developer,"5,277"
apache+beam,258
apache+flink,313
apache+kafka,"2,168"
apache+nifi,346
apache+spark,"2,959"
apache+spark+sql,"1,642"
apache+storm,447
apex+Developer,"2,585"
api+Developer,"13,967"
api+design,"20,992"
apollo+Developer,254
apollo+client,624
appium+Developer,288
application+server,"69,339"
architecture+Developer,"49,959"
arm+Developer,"1,719"
artificial+intelligence,"12,829"
asp.net+Developer,"6,873"
asp.net+core,"2,422"
asp.net+mvc,"3,771"
asp.net+web+api,"1,933"
assembly+Developer,"3,185"
async+await,70
asynchronous+Developer,"1,318"
atlassian+crowd,64
autofac+Developer,19
automated+tests,"31,906"
automation+Developer,"22,908"
aws+Developer,"26,072"
aws+lambda,"4,195"
azure+Developer,"12,406"
azure+cosmosdb,205
azure+devops,"8,548"
azure+functions,"6,814"
azure+sql+database,"4,093"
backbase+Developer,18
backbone.js+Developer,200
backend+Developer,"5,836"
banking+Developer,"1,722"
bash+Developer,"4,034"
bdd+Developer,725
bigdata+Developer,184
bitbake+Developer,9
bizagi+Developer,6
black+box+testing,"1,123"
blockchain+Developer,634
bluetooth+Developer,584
boost+Developer,631
bootstrap+Developer,"4,810"
bootstrap+4,"1,353"
browserstack+Developer,44
build+Developer,"67,528"
build+automation,"40,889"
buildroot+Developer,9
business+intelligence,"30,539"
c+Developer,"12,335"
c#+Developer,"185,992"
c#+4.0,"186,102"
c+++Developer,"12,335"
c++11+Developer,250
caffe+Developer,133
cakephp+Developer,54
calypso+Developer,54
