,0
.net+Developer,"20,028"
.net+core,"12,079"
3d+Developer,"1,964"
ab+initio,461
active+directory,"17,289"
admin+Developer,"6,807"
ads+Developer,"1,903"
advertisement+server,278
aem+Developer,439
agile+Developer,"36,472"
ajax+Developer,"4,678"
algorithm+Developer,"15,368"
amazon+cloudformation,"1,255"
amazon+data+pipeline,"1,165"
amazon+dynamodb,"2,155"
amazon+ec2,"3,610"
amazon+elastic+beanstalk,171
amazon+kinesis+firehose,116
amazon+redshift,"2,299"
amazon+s3,"2,474"
amazon+web+services,"21,684"
anaconda+Developer,73
analytics+Developer,"25,275"
android+Developer,"6,834"
android+jetpack,65
angular+Developer,"13,658"
angular5+Developer,7
angularjs+Developer,"3,144"
ansible+Developer,"3,108"
apache+Developer,"5,240"
apache+beam,272
apache+kafka,"2,142"
apache+nifi,351
apache+spark,"2,943"
apache+spark+sql,"1,638"
apache+storm,445
apex+Developer,"2,583"
api+Developer,"13,842"
api+design,"20,792"
apollo+client,630
appium+Developer,286
application+server,"69,193"
architecture+Developer,"49,613"
arm+Developer,"1,702"
artificial+intelligence,"12,849"
asp.net+Developer,"6,817"
asp.net+core,"2,409"
asp.net+mvc,"3,733"
asp.net+web+api,"1,920"
assembly+Developer,"3,140"
autofac+Developer,20
automated+tests,"31,879"
automation+Developer,"22,641"
aws+Developer,"25,966"
aws+lambda,"4,194"
azure+Developer,"12,304"
azure+cosmosdb,204
azure+devops,"8,455"
azure+functions,"6,831"
azure+sql+database,"4,043"
backbone.js+Developer,206
backend+Developer,"5,757"
banking+Developer,"1,721"
bash+Developer,"3,975"
bdd+Developer,707
black+box+testing,"1,106"
blockchain+Developer,625
boost+Developer,637
bootstrap+4,"1,283"
browserstack+Developer,45
build+Developer,"67,204"
build+automation,"40,684"
buildroot+Developer,8
business+intelligence,"30,394"
c+Developer,"12,239"
c#+Developer,"184,924"
c#+4.0,"184,768"
c+++Developer,"12,240"
c++11+Developer,241
caffe+Developer,134
cakephp+Developer,54
cassandra+Developer,"2,773"
celery+Developer,71
centos+Developer,629
chef+Developer,"1,252"
circleci+Developer,305
cisco+Developer,"1,293"
clojure+Developer,170
cloud+Developer,"46,073"
cloud+hosting,"3,305"
cmake+Developer,164
cms+Developer,"2,132"
cobol+Developer,673
cockroachdb+Developer,16
cocoa+Developer,305
cocoa+touch,210
cocos2d+iphone,1
coffeescript+Developer,69
cognos+Developer,742
cognos+tm1,466
combine+Developer,"3,866"
communication+Developer,"81,673"
computer+science,"163,011"
concurrency+Developer,"1,371"
configuration+Developer,"17,917"
containers+Developer,"6,291"
content+management+system,"58,400"
continuous+delivery,"71,075"
continuous+deployment,"20,918"
continuous+integration,"34,986"
cordova+Developer,307
core+Developer,"28,396"
creative+cloud,"24,394"
crm+Developer,"4,766"
cross+browser,"3,983"
cross+platform,"58,239"
css+Developer,"19,447"
css3+Developer,"3,347"
cucumber+Developer,"1,404"
cuda+Developer,222
culture+Developer,"33,457"
cypress+Developer,303
dagger+Developer,101
dart+Developer,168
data+Developer,"80,601"
data+analysis,"265,295"
data+management,"569,384"
data+science,"15,837"
data+warehouse,"30,335"
database+Developer,"23,798"
database+design,"61,057"
deep+learning,"40,264"
deployment+Developer,"26,392"
design+Developer,"108,082"
design+patterns,"31,082"
devops+Developer,"10,768"
distributed+system,"42,994"
django+Developer,"1,222"
django+rest+framework,369
docker+Developer,"7,408"
domain+driven+design,"6,374"
driver+Developer,"7,762"
e+commerce,"29,110"
eclipse+Developer,"2,815"
ecmascript+6,118
elastic+stack,"1,362"
elasticsearch+Developer,"1,807"
elixir+Developer,319
elk+Developer,779
embedded+Developer,"7,044"
embedded+linux,"4,820"
ember.js+Developer,128
end+to+end,"522,722"
enterprise+Developer,"28,774"
entity+framework,"5,672"
ethereum+Developer,78
etl+Developer,"6,394"
event+sourcing,"7,965"
events+Developer,"16,302"
express+Developer,"2,716"
extbase+Developer,"108,701"
f#+Developer,"173,010"
figma+api,15
financial+Developer,"22,791"
firebase+Developer,231
firmware+Developer,"1,784"
flask+Developer,845
flexbox+Developer,86
flutter+Developer,134
