,0
.net+Developer,"20,023"
.net+core,"12,055"
3d+Developer,"1,961"
ab+initio,461
active+directory,"17,277"
admin+Developer,"6,762"
ads+Developer,"1,901"
advertisement+server,277
aem+Developer,439
agile+Developer,"36,465"
ajax+Developer,"4,679"
algorithm+Developer,"15,360"
amazon+cloudformation,"1,255"
amazon+data+pipeline,"1,165"
amazon+dynamodb,"2,154"
amazon+ec2,"3,607"
amazon+elastic+beanstalk,177
amazon+emr,"1,411"
amazon+kinesis+firehose,116
amazon+redshift,"2,302"
amazon+s3,"2,474"
amazon+web+services,"21,685"
anaconda+Developer,73
analytics+Developer,"25,295"
android+Developer,"6,842"
android+jetpack,65
angular+Developer,"13,658"
angular5+Developer,7
angularjs+Developer,"3,150"
ansible+Developer,"3,115"
apache+Developer,"5,248"
apache+beam,272
apache+flink,310
apache+kafka,"2,140"
apache+nifi,351
apache+spark,"2,943"
apache+spark+sql,"1,613"
apache+storm,444
apex+Developer,"2,574"
api+Developer,"13,865"
api+design,"20,813"
apollo+client,631
appium+Developer,288
application+server,"69,089"
architecture+Developer,"49,604"
arm+Developer,"1,696"
artificial+intelligence,"12,857"
asp.net+Developer,"6,814"
asp.net+core,"2,404"
asp.net+mvc,"3,734"
asp.net+web+api,"1,916"
assembly+Developer,"3,126"
autofac+Developer,20
automated+tests,"31,794"
automation+Developer,"22,659"
aws+Developer,"25,974"
aws+lambda,"4,202"
azure+Developer,"12,312"
azure+cosmosdb,203
azure+devops,"8,523"
azure+functions,"6,816"
azure+sql+database,"4,036"
backbone.js+Developer,205
backend+Developer,"5,760"
banking+Developer,"1,719"
bash+Developer,"3,967"
bdd+Developer,706
bigdata+Developer,177
black+box+testing,"1,106"
blockchain+Developer,621
boost+Developer,634
bootstrap+Developer,"4,682"
bootstrap+4,"1,284"
browserstack+Developer,45
build+Developer,"67,180"
build+automation,"40,753"
buildroot+Developer,8
business+intelligence,"30,344"
c+Developer,"12,199"
c#+Developer,"184,365"
c#+4.0,"184,365"
c+++Developer,"12,199"
c++11+Developer,238
caffe+Developer,134
cakephp+Developer,54
cassandra+Developer,"2,772"
celery+Developer,72
centos+Developer,629
chef+Developer,"1,254"
circleci+Developer,314
cisco+Developer,"1,295"
clojure+Developer,172
cloud+Developer,"46,126"
cloud+hosting,"3,298"
cmake+Developer,166
cms+Developer,"2,128"
cobol+Developer,671
cockroachdb+Developer,16
cocoa+Developer,306
cocoa+touch,210
cocos2d+iphone,1
coffeescript+Developer,69
cognos+Developer,748
cognos+tm1,467
combine+Developer,"3,871"
communication+Developer,"81,624"
computer+science,"162,846"
computer+vision,"346,064"
concurrency+Developer,"1,372"
configuration+Developer,"17,916"
containers+Developer,"6,290"
content+management+system,"58,286"
continuous+delivery,"70,866"
continuous+deployment,"20,924"
continuous+integration,"34,934"
