,0
cmake+Developer,167
cobol+Developer,671
cocoa+Developer,305
cocoa+touch,203
cocos2d+iphone,1
coffeescript+Developer,69
cognos+Developer,754
cognos+tm1,469
concurrency+Developer,"1,379"
configuration+Developer,"18,069"
containers+Developer,"6,377"
continuous+delivery,"73,388"
continuous+deployment,"20,934"
continuous+integration,"35,331"
cordova+Developer,309
core+Developer,"28,682"
creative+cloud,"24,552"
crm+Developer,"4,803"
cross+browser,"4,000"
cross+platform,"58,623"
css+Developer,"19,584"
css3+Developer,"3,368"
cuda+Developer,223
culture+Developer,"33,880"
cypress+Developer,307
dagger+Developer,101
dart+Developer,168
data+Developer,"81,326"
data+science,"15,980"
data+warehouse,"30,623"
database+Developer,"23,990"
database+design,"61,483"
design+Developer,"108,978"
design+patterns,"31,344"
devops+Developer,"10,893"
distributed+system,"43,460"
django+Developer,"1,235"
django+rest+framework,370
docker+Developer,"7,477"
domain+driven+design,"6,438"
e+commerce,"29,419"
eclipse+Developer,"2,861"
ecmascript+6,118
elasticsearch+Developer,"1,840"
elixir+Developer,323
elk+Developer,788
embedded+Developer,"7,100"
embedded+linux,"4,853"
ember.js+Developer,130
end+to+end,"528,955"
enterprise+Developer,"28,972"
entity+framework,"5,717"
ethereum+Developer,78
etl+Developer,"6,476"
event+sourcing,"8,024"
events+Developer,"16,392"
express+Developer,"2,729"
figma+api,15
financial+Developer,"23,205"
flask+Developer,855
flexbox+Developer,85
flutter+Developer,138
fortran+Developer,257
frameworks+Developer,"40,164"
frontend+Developer,"10,094"
game+engine,"4,294"
git+Developer,"13,632"
github+Developer,"3,983"
gitlab+Developer,"1,280"
glimmer.js+Developer,0
go+Developer,"2,545"
google+app+engine,460
google+cloud+platform,"9,702"
gradle+Developer,"1,219"
graphql+Developer,"1,105"
gwt+Developer,185
hadoop+Developer,"7,545"
haml+Developer,25
hana+studio,288
hbase+Developer,929
heterogeneous+services,"1,362"
hibernate+Developer,"3,878"
hipaa+Developer,"1,045"
html+Developer,"17,298"
html5+Developer,"7,376"
http+Developer,"14,063"
ibm+cloud,"4,276"
ida+Developer,234
iis+Developer,"1,835"
infopath+Developer,273
infrastructure+Developer,"30,191"
infrastructure+as+code,"31,566"
integration+Developer,"44,584"
ios+Developer,"6,238"
iot+Developer,"2,704"
ip+Developer,"4,615"
iphone+Developer,597
jakarta+ee,5
java+Developer,"32,844"
java+8,"8,337"
java+ee,"1,438"
javascript+Developer,"30,825"
jenkins+Developer,"10,348"
jetpack+Developer,139
jira+Developer,"7,578"
jira+rest+api,"1,043"
jpa+Developer,931
jquery+Developer,"8,272"
json+Developer,"7,126"
jsx+Developer,56
junit+Developer,"2,375"
jupyter+notebook,446
jvm+Developer,461
kafka+Developer,"5,195"
kanban+Developer,"1,781"
knockout.js+Developer,105
koa+Developer,38
kotlin+Developer,"1,195"
kubernetes+Developer,"5,353"
lambda+Developer,"2,901"
lamp+Developer,685
laravel+Developer,604
less+Developer,"8,017"
linux+Developer,"24,156"
loopbackjs+Developer,"109,659"
lwc+Developer,40
lxc+Developer,41
machine+learning,"35,560"
magento2+Developer,4
manual+testing,"50,231"
mapreduce+Developer,584
maven+Developer,"4,803"
memcached+Developer,194
metal+Developer,"1,210"
micro+frontend,226
micronaut+Developer,6
microservices+Developer,"6,112"
microsoft+dynamics+nav,475
mobile+Developer,"17,779"
modulation+Developer,78
mongodb+Developer,"4,839"
multithreading+Developer,427
mvp+Developer,422
mvvm+Developer,604
mysql+Developer,"9,146"
netbeans+Developer,176
network+programming,"31,380"
network+security,"93,762"
networking+Developer,"11,602"
next.js+Developer,62
nlp+Developer,769
node.js+Developer,"5,205"
nosql+Developer,"5,640"
numpy+Developer,226
nuxt.js+Developer,25
nvidia+jetson,38
objective+c,"26,988"
octopus+deploy,251
office365+Developer,97
oop+Developer,"1,955"
open+source,"53,519"
opengl+Developer,689
openjdk+Developer,10
openshift+Developer,798
openstack+Developer,484
operating+system,"281,057"
oracle+Developer,"13,650"
osx+Developer,102
pandas+Developer,480
payments+Developer,"8,143"
pega+Developer,533
penetration+testing,"4,724"
pentaho+Developer,182
performance+Developer,"55,263"
perl+Developer,"3,679"
phoenix+framework,"1,304"
php+Developer,"9,737"
php+7,"1,480"
php7+Developer,16
pivotal+cloud+foundry,594
platform+Developer,"59,327"
plsql+Developer,361
poco+Developer,2
polymer+Developer,301
postgresql+Developer,"2,841"
postgresql+extensions,93
postman+Developer,753
powerbi+Developer,740
powershell+Developer,"2,597"
project+management,"57,620"
pug+Developer,25
puppet+Developer,"2,961"
push+notification,"4,448"
pycharm+Developer,36
pydev+Developer,0
pygame+Developer,0
python+Developer,"31,633"
python+3.x,60
pytorch+Developer,348
qa+Developer,"10,480"
qt+Developer,628
r+Developer,"2,571"
rabbitmq+Developer,863
react+Developer,"15,890"
react+fullstack,295
react+helmet,21
react+native,"3,376"
react+redux,"2,909"
reactjs+Developer,"1,828"
redgate+Developer,47
redis+Developer,"1,621"
redux+Developer,"1,860"
redux+saga,92
release+Developer,"11,317"
rendering+Developer,"1,353"
rest+Developer,"18,316"
restful+architecture,"5,672"
roadmap+Developer,"6,828"
robotics+Developer,"2,709"
ruby+Developer,"5,339"
ruby+on+rails,"2,820"
ruby+on+rails+5,844
rust+Developer,480
rx+java,62
rx+java2,2
rxjs+Developer,177
saas+Developer,"7,031"
sag+Developer,12
sailpoint+Developer,154
salesforce+Developer,"6,813"
salt+stack,894
saml+2.0,224
sap+Developer,"5,894"
sap+web+ide,53
sass+Developer,"2,324"
saucelabs+Developer,42
scala+Developer,"4,073"
scikit+learn,"1,274"
scip+Developer,8
scrum+Developer,"16,773"
scss+Developer,464
sdk+Developer,"1,443"
section508+Developer,"109,659"
security+Developer,"6,472"
selenium+Developer,"3,478"
semantic+web,768
sequencing+Developer,449
server+Developer,"24,236"
serverless+Developer,"1,522"
servlets+Developer,849
sfdc+Developer,"1,023"
sharepoint+Developer,"3,315"
sharepoint+designer,"1,373"
shell+Developer,"6,038"
shopify+Developer,363
signal+processing,"7,898"
simulation+Developer,"3,891"
sitecore+Developer,526
sketch+3,"4,842"
slack+Developer,"1,024"
snowflake+data+warehouse,"1,010"
snowflake+datawarehouse,62
soa+Developer,"3,698"
soap+Developer,"7,948"
solid+principles,"27,317"
soql+Developer,755
spark+ar+studio,13
spectrum+Developer,"3,326"
spring+Developer,"11,737"
spring+boot,"5,146"
spring+cloud,"7,338"
spring+mvc,"2,464"
sql+Developer,"2,118"
sql+server,"35,330"
sql+server+data+tools,"14,192"
sqlite+Developer,302
sre+Developer,775
statistics+Developer,"6,085"
storybook+Developer,51
swift+Developer,"2,817"
swing+Developer,348
symfony+Developer,243
symfony2+Developer,4
symfony3+Developer,"109,638"
sysadmin+Developer,107
system+Developer,"76,591"
system+integration,"125,071"
talend+Developer,555
tcp+ip,"13,505"
tcpip+Developer,27
tdd+Developer,"2,331"
teamcity+Developer,489
tensorflow+Developer,696
terraform+Developer,"1,641"
test+Developer,"53,725"
testing+Developer,"57,856"
tomcat+Developer,"2,902"
trading+Developer,"1,670"
trouble+tickets,"4,514"
tsql+Developer,387
twitter+bootstrap,351
typescript+Developer,"4,414"
ubuntu+Developer,711
unity3d+Developer,64
unix+Developer,"10,941"
user+experience,"220,169"
user+interface,"39,983"
ux+Developer,"9,682"
vaadin+Developer,20
vb.net+Developer,"1,408"
virtual+reality,"2,609"
visualforce+Developer,"1,684"
vmware+Developer,"2,525"
vue.js+Developer,946
vuejs+Developer,326
vulkan+Developer,110
wcag+Developer,406
wcf+Developer,"1,297"
web+applications,"117,731"
web+services,"154,903"
webpack+Developer,"1,359"
websocket+Developer,278
white+box+testing,921
window+Developer,"13,866"
windows+Developer,"13,918"
wordpress+Developer,"2,097"
wpf+Developer,729
x64+Developer,29
xamarin+Developer,495
xamarin.forms+Developer,44
xcode+Developer,595
xml+Developer,"9,204"
yocto+Developer,47
zend+framework,190
zero+Developer,"1,192"
zfs+Developer,48
