,0
.net+Developer,"15,498"
.net+core,"12,203"
3d+Developer,"1,988"
active+directory,"17,459"
admin+Developer,"6,822"
advertisement+server,279
agile+Developer,"36,879"
ajax+Developer,"4,707"
algorithm+Developer,"15,502"
amazon+cloudformation,"1,264"
amazon+data+pipeline,"1,165"
amazon+ec2,"3,623"
amazon+elastic+beanstalk,178
amazon+kinesis+firehose,116
amazon+redshift,"2,316"
amazon+s3,"2,474"
amazon+web+services,"21,788"
anaconda+Developer,75
analytics+Developer,"25,484"
android+Developer,"6,880"
android+jetpack,65
angular+Developer,"13,819"
angular5+Developer,8
angularjs+Developer,"3,196"
ansible+Developer,"3,138"
apache+Developer,"5,316"
apache+beam,274
apache+kafka,"2,185"
apache+spark,"2,996"
apache+spark+sql,"1,669"
apache+storm,448
apex+Developer,"2,591"
api+Developer,"13,986"
api+design,"20,973"
apollo+client,634
application+server,"69,628"
architecture+Developer,"50,034"
arm+Developer,"1,706"
artificial+intelligence,"12,913"
asp.net+Developer,"6,863"
asp.net+core,"2,419"
asp.net+mvc,"3,751"
asp.net+web+api,"1,932"
autofac+Developer,20
automated+tests,"32,184"
automation+Developer,"22,872"
aws+Developer,"26,159"
aws+lambda,"4,225"
azure+Developer,"12,421"
azure+cosmosdb,201
azure+devops,"8,540"
azure+functions,"6,876"
azure+sql+database,"4,088"
backbone.js+Developer,204
backend+Developer,"5,808"
bash+Developer,"4,029"
bdd+Developer,711
black+box+testing,"1,116"
blockchain+Developer,630
boost+Developer,637
bootstrap+4,"1,295"
browserstack+Developer,47
build+Developer,"67,817"
buildroot+Developer,8
business+intelligence,"30,559"
c+Developer,"12,306"
c#+Developer,"185,489"
c#+4.0,"185,489"
c+++Developer,"12,306"
c++11+Developer,245
caffe+Developer,134
cakephp+Developer,54
cassandra+Developer,"2,794"
celery+Developer,72
centos+Developer,630
chef+Developer,"1,261"
circleci+Developer,308
clojure+Developer,171
cloud+Developer,"46,481"
cloud+hosting,"3,321"
