0,1,2,3,4,5
python,ruby-on-rails,sql,amazon-web-services,hadoop,
react,javascript,angular,node.js,typescript,
java,linux,sql,,,
python,sql,machine-learning,nlp,,
php,laravel,javascript,sass,deployment,
security,postgresql,angular,typescript,express,
amazon-web-services,postgresql,javascript,f#,ruby,
security,cloud,project-management,,,
reactjs,javascript,php,,,
java,design,python,,,
c,embedded,c++,,,
c,cloud,security,,,
ios,android,mobile,scala,,
ios,mobile,android,scala,,
ios,mobile,android,scala,,
go,python,java,cloud,,
android,java,mobile,,,
javascript,reactjs,graphql,html,css,
java,spring-boot,hibernate,docker,openshift,
reactjs,ember.js,ruby-on-rails,django,spring,
reactjs,javascript,,,,
project-management,scrum,cloud,,,
web-services,project-management,security,,,
web-services,security,project-management,,,
java,python,cloud,,,
clojure,security,project-management,,,
automation,web-services,,,,
python,apache-spark,hadoop,,,
agile,scrum,user-experience,,,
automation,web-services,,,,
automation,devops,web-services,,,
agile,testing,automated-tests,,,
web-services,,,,,
cloud,api,rest,,,
agile,scrum,project-management,,,
agile,cloud,scrum,,,
sql,sql-server,tsql,,,
web-services,,,,,
agile,mobile,web-services,,,
,,,,,
project-management,design,web-services,,,
java,.net,java-ee,html,computer-science,
machine-learning,algorithm,mongodb,sql-server,amazon-web-services,
security,,,,,
java,aem,sling,,,
user-experience,user-interface,design,,,
angularjs,sql,asp.net-mvc,c#,entity-framework,
c++,java,javascript,c,angularjs,
system-administration,powershell,azure-devops,active-directory,sysadmin,
talend,ab-initio,sql,unix,,
python,django,kotlin,,,
less,web-services,java,,,
clojure,project-management,web-services,,,
node.js,redis,websocket,postgresql,blockchain,
android,user-experience,user-interface,,,
ios,objective-c,swift,,,
swift,ios,objective-c,,,
javascript,,,,,
php,mysql,symfony,laravel,,
ruby-on-rails,,,,,
python,ruby,go,docker,amazon-web-services,
product-management,user-experience,newsletter,e-commerce,subscription,
azure,java,open-source,gitlab,,
linux,c++,c,unix,,
python,django,micronaut,kotlin,,
java,amazon-web-services,docker,rest,spring,sysadmin
go,angular,vue.js,,,
embedded,c,firmware,software-design,rtos,
ios,swift,objective-c,,,
angularjs,.net,,,,
vb6,odbc,html,asp.net,,
system-design,sysml,interface,security,,
c#,javascript,python,rest,agile,
qa,,,,,
java,scala,python,,,
javascript,php,ecmascript-6,sass,oop,
java,scala,,,,
python,,,,,
c++,javascript,agile,unix,linux,
c++,unix,linux,,,
system-design,sysml,modeling,,,
system-design,sysml,,,,
java,c#,jsp,html,uml,
angular,bootstrap-4,swing,kubernetes,docker,
amazon-web-services,docker,postgresql,typescript,microservices,
project-management,devops,language-agnostic,communication,automation,
c#,.net,mvc,rest,javascript,
java-8,spring-mvc,hibernate,swing,maven,
spring,devops,kubernetes,docker,terraform,
kubernetes,elastic-stack,ansible,amazon-web-services,puppet,sysadmin
hadoop,apache-spark,java,apache-kafka,elasticsearch,
php,phalcon,postgresql,amazon-web-services,docker,
rest,saas,paas,content-management-system,,
node.js,java,go,amazon-web-services,ads,
windows,linux,unix,apache,tomcat,sysadmin
kotlin,rx-java2,dagger,mvvm,android,
agile,api,javascript,scrum,qa,
oop,javascript,vue.js,css,html,
linux,windows,cisco,aws,sysadmin,
java,javaee,swing,javafx,git,sysadmin
less,c#,web-service,,,
c,c++,python,assembly,driver,
reactjs,javascript,node.js,sass,,
azure,machine-learning,algorithm,,,
java,mongodb,spring,rest,,
project-management,web-services,design,,,
web-services,,,,,
java,vertx,spring-boot,microservices,algorithm,
web-services,,,,,
agile,.net,,,,
javascript,reactjs,angular,vue.js,css,
project-management,web-services,user-interface,,,
web-service,,,,,
web-service,,,,,
web-services,,,,,
web-services,,,,,
clojure,web-services,project-management,,,
oop,agile,solid,,,
linkage,privacy,data-management,data-analysis,data-science,
java,python,json,javascript,r,
django,python,rest,github,git,
python,c#,javascript,typescript,reactjs,
angular,javascript,ionic,typescript,flutter,
oracle,javascript,java,sql,json,
kubernetes,amazon-web-services,azure,docker,cockroachdb,
amazon-web-services,clojure,kubernetes,apache-kafka,functional-programming,
java,,,,,
typescript,javascript,html,css,angularjs,
ios,swift,objective-c,xcode,,
rest,java,spring-boot,jpa,sql,
python,mongodb,jenkins,git,amazon-web-services,sysadmin
agile,cloud,web-services,,,
c++,java,cloud,,,
reactjs,html,css,bootstrap-4,javascript,
python,flask,postgresql,mongodb,rest,
embedded,c,c++,git,sql,
apache-spark,r,hadoop,bash,azure,
agile,java,amazon-web-services,,,
cloud,google-cloud-platform,,,,
cloud,google-cloud-platform,,,,
reactjs,python,javascript,,,
python,web-services,django,,,
scala,amazon-web-services,backend,security,java,
java,android,kotlin,p2p,javascript,
kubernetes,postgresql,jvm,python,ruby,
kotlin,java,oop,,,
typescript,reactjs,node.js,docker,,
embedded,node.js,api,,,
php,java,mysql,,,
java,git,c++,html5,swift4,
r,python,sql,scala,hadoop,
java,web-services,kotlin,docker,postgresql,
javascript,node.js,jestjs,kubernetes,reactjs,
django,python,reactjs,,,
java,spring,java-ee,jsf,mysql,
,,,,,
project-management,,,,,
node.js,javascript,,,,
cloud,web-services,gcp,devops,gdscript,
amazon-web-services,cloud,reactjs,apache-nifi,ovh,
agile,cloud,java,javascript,kotlin,
ios,swift,mvvm,rxswift,rest,
java,mongodb,javascript,docker,amazon-web-services,
c++,java,python,cloud,microservices,
java,spring,javascript,css,jsp,
node.js,continuous-integration,docker,build-automation,linux,
user-interface,,,,,
java,android,aws,git,ios,
php,symfony,mysql,typo3,extbase,
java,spring,reactjs,apache-kafka,,
reactjs,qa,java,production,devops,
java,amazon-web-services,docker,apache-kafka,go,
java,spring,apache-kafka,postgresql,elasticsearch,
c#,sql,scrum,,,
python,sas,,,,
azure,amazon-web-services,powershell,,,
c#,.net,sql,,,
java,spring,reactjs,apache-kafka,,
php,laravel,,,,
oop,python,linux,kubernetes,ansible,
node.js,amazon-web-services,agile,aws-lambda,amazon-dynamodb,
node.js,amazon-web-services,agile,aws-lambda,amazon-dynamodb,
reactjs,node.js,javascript,typescript,,
machine-learning,signal-processing,nlp,,,
qa,automation,selenium,appium,testing,
node.js,reactjs,typescript,javascript,c++,
node.js,angular,nest,css,typescript,
php,shopware,frameworks,,,
c#,.net,asp.net,,,
c#,asp.net-web-api,angularjs,typescript,,
.net,c#,cloud,,,
javascript,css,sass,vue,php,
objective-c,javascript,swift,java,kotlin,
redis,linux,docker,kubernetes,,
azure,.net-core,asp.net,c#,,
user-interface,javascript,html,css,sass,
sysadmin,project-management,continuous-integration,linux,hyper-v,
c#,.net-core,angular,entity-framework,,
kubernetes,aws,agile,google-cloud-platform,docker,sysadmin
c,embedded,c++,,,
selenium,automated-tests,webdriver,selenium-webdriver,java,
c++,c,embedded,,,
sql,java,continuous-integration,,,
c,embedded,design,,,
android,c++,embedded,,,
c++,python,automation,,,
aem,java,cms,,,
ios,swift,uikit,objective-c,unit-testing,
azure,asp.net-web-api,c#,.net,,
scrum,agile,,,,
reactjs,node.js,javascript,vue.js,,
c#,.net,c++,vbscript,powershell,
java,java-ee,web-services,continuous-integration,database,
swift,swiftui,objective-c,combine,swift5,
architecture,devops,microservices,,,
javascript,reactjs,css,typescript,,
c++,qt,machine-learning,python,opencv,
java,agile,angular,node.js,,
php,node.js,mongodb,mysql,go,
automated-tests,banking,,,,
c,azure,asp.net-web-api,c#,.net,
docker,kubernetes,go,python,jenkins,
asp.net,c#,.net,azure,rest-api,
amazon-web-services,ibm-cloud,azure,architecture,,
scrum,,,,,
c++,android,qt,python,,
oop,java,relational-database,,,
java,java-ee,spring,struts,hibernate,
