0,1,2,3,4,5
python,hadoop,,,,
java,java-ee,,,,
python,hadoop,,,,
java,javascript,css,,,
c#,c#-4.0,xamarin,,,
c#,c#-4.0,xamarin,,,
c#,c#-4.0,xamarin,,,
c#,java,c#-4.0,,,
ios,swift,,,,
php,,,,,
ios,swift,,,,
c++,c,qt,,,
c#,c#-4.0,xamarin,,,
c#,c#-4.0,xamarin,,,
c,.net,sql,,,
oracle,java,sql,,,
reactjs,javascript,php,,,
android,php,mobile,,,
wordpress,php,html,,,
design,user-interface,user-experience,,,
php,,,,,
php,javascript,html,,,
php,mysql,xml,,,
css,css3,html,,,
php,sql,,,,
reactjs,javascript,angularjs,,,
php,mysql,javascript,,,
php,mysql,javascript,,,
javascript,css3,css,,,
wordpress,css,php,,,
php,mysql,ajax,,,
php,jquery,javascript,,,
python,git,django,,,
php,xml,oop,,,
agile,node.js,php,,,
php,json,rest,,,
wordpress,php,css,,,
php,sql,,,,
angularjs,javascript,html5,,,
reactjs,javascript,security,,,
php,angularjs,html5,,,
agile,node.js,php,,,
mongodb,angularjs,node.js,,,
php,mysql,database,,,
css,user-interface,html,,,
wordpress,php,html5,,,
php,mysql,linux,,,
php,mysql,sql,,,
laravel,php,reactjs,,,
java,angularjs,reactjs,,,
php,,,,,
php,mysql,css,,,
django,python,css3,,,
php,mysql,javascript,,,
php,wordpress,javascript,,,
reactjs,mongodb,javascript,,,
php,wordpress,laravel,,,
php,mysql,javascript,,,
php,mysql,oracle,,,
wordpress,php,css3,,,
php,laravel,mysql,,,
php,html,html5,,,
php,mysql,web-services,,,
php,mysql,jquery,,,
php,laravel,mysql,,,
php,mysql,jquery,,,
php,mysql,,,,
javascript,wordpress,php,,,
php,laravel,mysql,,,
php,,,,,
android,php,javascript,,,
reactjs,jquery,javascript,,,
php,jquery,,,,
javascript,php,html5,,,
php,symfony2,mysql,,,
php,symfony2,mysql,,,
php,mysql,,,,
javascript,php,sql,,,
php,wordpress,ajax,,,
php,mysql,,,,
php,html,html5,,,
php,java,,,,
python,amazon-web-services,mysql,,,
wordpress,php,css,,,
php,symfony2,javascript,,,
javascript,api,user-interface,,,
wordpress,user-interface,user-experience,,,
wordpress,php,javascript,,,
php,c,mysql,,,
php,android,mysql,,,
angularjs,javascript,sql,,,
php,mysql,zend-framework,,,
php,,,,,
wordpress,php,html,,,
wordpress,css,html,,,
html,html5,css,,,
wordpress,php,javascript,,,
php,javascript,,,,
wordpress,php,javascript,,,
php,,,,,
php,android,mysql,,,
php,mysql,git,,,
php,wordpress,ajax,,,
php,wordpress,javascript,,,
php,wordpress,html5,,,
php,,,,,
php,wordpress,javascript,,,
php,mysql,wordpress,,,
php,,,,,
php,mysql,ajax,,,
mysql,php,reactjs,,,
php,mysql,,,,
php,mysql,ajax,,,
php,mysql,javascript,,,
php,mysql,laravel,,,
php,mysql,wordpress,,,
php,wordpress,javascript,,,
spring,java,spring-mvc,,,
java,agile,automation,,,
c#,agile,.net,,,
c#,agile,.net,,,
linux,sysadmin,osx,,,
hadoop,apache,web-services,,,
.net,c#,entity-framework,,,
reactjs,node.js,amazon-web-services,,,
automation,docker,qa,,,
php,mysql,amazon-web-services,,,
php,oop,mysql,,,
php,mysql,laravel,,,
php,,,,,
xml,php,javascript,,,
php,javascript,html,,,
php,,,,,
php,reactjs,laravel,,,
php,reactjs,laravel,,,
php,,,,,
php,mysql,javascript,,,
php,mysql,wordpress,,,
php,oop,,,,
php,laravel,,,,
python,django,,,,
php,wordpress,javascript,,,
php,mysql,angularjs,,,
php,mysql,javascript,,,
php,wordpress,,,,
mysql,jquery,php,,,
php,laravel,symfony2,,,
reactjs,php,mobile,,,
reactjs,agile,javascript,,,
security,web-services,,,,
php,mysql,javascript,,,
amazon-web-services,azure,cloud,,,
php,laravel,reactjs,,,
php,mysql,,,,
java,perl,maven,,,
amazon-web-services,azure,cloud,,,
java,agile,web-services,,,
php,mysql,html,,,
php,mysql,laravel,,,
php,javascript,mysql,,,
php,wordpress,laravel,,,
wordpress,html5,css,,,
php,mysql,,,,
php,mysql,javascript,,,
php,javascript,css,,,
php,mysql,angularjs,,,
php,mysql,user-interface,,,
php,,,,,
testing,qa,tdd,,,
project-management,java,python,,,
php,mysql,design,,,
php,javascript,wordpress,,,
php,mysql,html,,,
node.js,angularjs,objective-c,,,
ios,objective-c,cocoa,,,
java,,,,,
reactjs,.net,design,,,
c#,.net,c#-4.0,,,
c#,sql,.net,,,
php,mysql,wordpress,,,
python,xml,javascript,,,
php,wordpress,mysql,,,
c#,.net,sql-server,,,
c#,.net,asp.net,,,
c,ios,cocoa,,,
reactjs,javascript,android,,,
azure,reactjs,ios,,,
android,java,design,,,
user-interface,user-experience,html5,,,
agile,clojure,java,,,
java,web-services,,,,
rest,api,soap,,,
json,xml,soap,,,
angularjs,wpf,.net,,,
wpf,c#,.net,,,
c#,agile,sql,,,
c#,.net,sql-server,,,
java,,,,,
.net,sql,asp.net-mvc,,,
wpf,.net,mysql,,,
reactjs,javascript,css,jsx,redux,
java,c#,,,,
c++,c,angularjs,,,
linux,java,jvm,openjdk,oracle,
python,django,javascript,,,
python,django,,,,
python,amazon-web-services,cloud,,,
python,django,mysql,,,
python,sql,javascript,,,
python,security,django,,,
automation,java,amazon-web-services,,,
reactjs,javascript,mobile,,,
java,spring,java-ee,,,
reactjs,android,php,,,
java,spring,tomcat,,,
android,java,mobile,,,
c#,testing,sql,,,
.net,c#,wcf,,,
.net,java,algorithm,,,
reactjs,node.js,typescript,,,
react,react-native,next.js,typescript,serverless,
node.js,serverless,aws-lambda,typescript,mysql,
aws,github,jira,slack,node.js,
java,spring,rest,,,
reactjs,javascript,php,,,
node.js,java,nosql,docker,reactjs,
objective-c,html,ios,,,
hadoop,java,c++,,,
c,embedded,c++,,,
c++,qt,api,,,
hadoop,r,sql,,,
android,java,mobile,,,
networking,,,,,
java,c++,hadoop,,,
oracle,etl,hadoop,,,
,,,,,
node.js,mysql,amazon-web-services,reactjs,,
linux,python,,,,
sql-server,windows,,,,
java,rest,web-services,,,
amazon-web-services,python,linux,,,
devops,cloud,,,,
sql-server,windows,,,,
chef,docker,devops,,,
linux,amazon-web-services,,,,
amazon-web-services,devops,,,,
java,rest,spring,,,
amazon-web-services,linux,ansible,,,
java,mongodb,node.js,,,
java,rest,web-services,,,
android,mobile,xamarin,,,
linux,unix,,,,
azure,amazon-web-services,,,,
amazon-web-services,cloud,,,,
azure,asp.net-web-api,,,,
python,cloud,devops,,,
azure,asp.net-web-api,cloud,,,
automation,testing,python,,,
php,css,html,,,
go,java,typescript,reactjs,react-native,
angular,typescript,sass,rest,html,
node.js,mongodb,postgresql,salesforce,pentaho,
automation,design,agile,,,
chef,python,devops,,,
sysadmin,database,automation,,,
python,javascript,reactjs,,,
javascript,reactjs,css,,,
user-experience,agile,design,,,
ios,android,xamarin,,,
.net,c#,vb.net,,,
javascript,user-experience,user-interface,,,
reactjs,node.js,javascript,react-native,websocket,
http,,,,,
sysadmin,saas,linux,,,
,,,,,
security,mobile,,,,
chef,cloud,,,,
scrum,sql,git,,,
security,,,,,
reactjs,javascript,php,,,
oracle,etl,machine-learning,,,
c++,web-services,c,,,
project-management,python,design,,,
testing,qa,automated-tests,,,
ios,objective-c,iphone,,,
c++,c,php,,,
android,ios,sql,linux,php,
c,c++,java,,,
java,c++,php,,,
android,c++,java,,,
java,python,design,,,
linux,osx,java,,,
project-management,python,design,,,
security,web-services,c++,,,
mysql,c++,,,,
project-management,java,python,,,
project-management,java,python,,,
java,php,,,,
backbone.js,networking,,,,
project-management,python,design,,,
python,amazon-web-services,automation,,,
networking,design,automated-tests,,,
web-services,design,,,,
security,web-services,,,,
.net,c#,aws,reactjs,asp.net-mvc,
system,infrastructure,analytics,,,
c,security,,,,
security,unix,linux,sysadmin,,
r,c,java,python,c++,sysadmin
machine-learning,algorithm,c,java,python,
security,r,algorithm,,,
python,mongodb,multithreading,postgresql,rest,
c#,docker,sql-server,.net-core,,
node.js,javascript,graphql,express,typescript,
typescript,reactjs,graphql,,,
mongodb,reactjs,node.js,amazon-web-services,typescript,
python,java,postgresql,data,,
mongodb,reactjs,node.js,amazon-web-services,typescript,
sql,,,,,
node.js,javascript,testing,,,
python,postgresql,flask,django,ruby-on-rails,
django,python,reactjs,docker,django-rest-framework,
